ROOT,LEMMA,POS,LEMMA_ARA,DER_CLASS,GLOSS,FUNCTION,PATTERN_ABSTRACT,PARENT_LEMMA,PARENT_POS,PARENT_LEMMA_ARA,PARENT_DER_CLASS,PARENT_GLOSS,PARENT_FUNCTION,PARENT_PATTERN_ABSTRACT
$.H.*,$iHaA*ap,NOUN,شِحَاذَة,N_VERB_I,begging,-,1i2A3+ap,$aHa*-a,VERB,شَحَذ-َ,VERB_I,beg,trans,1a2a3
$.H.H,$aH~-i,VERB,شَحّ-ِ,VERB_I,be_covetous;be_stingy;economize,INTRANS,1a2a3_INTRANS,$.H.H,ROOT,,ROOT,,,ROOT
$.H.H,$aHiyH,ADJ,شَحِيح,DES_ADJ,meager;sparse;stingy,-,1a2iy3,$aH~-i,VERB,شَحّ-ِ,VERB_I,be_covetous;be_stingy;economize,INTRANS,1a2a3_INTRANS
$.H.H,$uH~,NOUN,شُحّ,N_VERB_I,avarice;greed;paucity,-,1u2o3,$aH~-i,VERB,شَحّ-ِ,VERB_I,be_covetous;be_stingy;economize,INTRANS,1a2a3_INTRANS
$.H.H,$aAH~,VERB,شَاحّ,VERB_III,be_stingy;withhold,gem trans,1A2a3,$aH~-i,VERB,شَحّ-ِ,VERB_I,be_covetous;be_stingy;economize,INTRANS,1a2a3_INTRANS
$.H.H,mu$aAH~,NOUN,مُشَاحّ,N_LOC,contestable;disputable,-,mu1A2a3,$aAH~,VERB,شَاحّ,VERB_III,be_stingy;withhold,gem trans,1A2a3
$.H.H,$aH~-u,VERB,شَحّ-ُ,VERB_I,be_covetous;be_stingy;economize,INTRANS,1a2a3_INTRANS,$.H.H,ROOT,,ROOT,,,ROOT
$.H.H,$aHiyH,ADJ,شَحِيح,DES_ADJ,meager;sparse;stingy,-,1a2iy3,$aH~-u,VERB,شَحّ-ُ,VERB_I,be_covetous;be_stingy;economize,INTRANS,1a2a3_INTRANS
$.H.H,$uH~,NOUN,شُحّ,N_VERB_I,avarice;greed;paucity,-,1u2o3,$aH~-u,VERB,شَحّ-ُ,VERB_I,be_covetous;be_stingy;economize,INTRANS,1a2a3_INTRANS
$.H.H,$aAH~,VERB,شَاحّ,VERB_III,be_stingy;withhold,gem trans,1A2a3,$aH~-u,VERB,شَحّ-ُ,VERB_I,be_covetous;be_stingy;economize,INTRANS,1a2a3_INTRANS
$.H.H,mu$aAH~,NOUN,مُشَاحّ,N_LOC,contestable;disputable,-,mu1A2a3,$aAH~,VERB,شَاحّ,VERB_III,be_stingy;withhold,gem trans,1A2a3
$.H.T,$aHaT-a,VERB,شَحَط-َ,VERB_I,be_remote;be_stranded,INTRANS,1a2a3_INTRANS,$.H.T,ROOT,,ROOT,,,ROOT
$.H.T,$aH~aT,VERB,شَحَّط,VERB_II,be_stranded;run_aground,trans,1a2~a3,$aHaT-a,VERB,شَحَط-َ,VERB_I,be_remote;be_stranded,INTRANS,1a2a3_INTRANS
$.H.b,$aHab-a,VERB,شَحَب-َ,VERB_I,be_haggard;become_pale,INTRANS,1a2a3_INTRANS,$.H.b,ROOT,,ROOT,,,ROOT
$.H.b,$aAHib,ADJ,شَاحِب,ACT_PRTC,emaciated;pale,-,1A2i3,$aHab-a,VERB,شَحَب-َ,VERB_I,be_haggard;become_pale,INTRANS,1a2a3_INTRANS
$.H.b,$uHuwb,NOUN,شُحُوب,N_VERB_I,emaciation;pallor,-,1u2uw3,$aHab-a,VERB,شَحَب-َ,VERB_I,be_haggard;become_pale,INTRANS,1a2a3_INTRANS
$.H.b,$uHuwbap,NOUN,شُحُوبَة,N_VERB_I,becoming_pale;being_haggard,-,1u2uw3+ap,$aHab-a,VERB,شَحَب-َ,VERB_I,be_haggard;become_pale,INTRANS,1a2a3_INTRANS
$.H.b,$aHab-u,VERB,شَحَب-ُ,VERB_I,be_haggard;become_pale,INTRANS,1a2a3_INTRANS,$.H.b,ROOT,,ROOT,,,ROOT
$.H.b,$aAHib,ADJ,شَاحِب,ACT_PRTC,emaciated;pale,-,1A2i3,$aHab-u,VERB,شَحَب-ُ,VERB_I,be_haggard;become_pale,INTRANS,1a2a3_INTRANS
$.H.b,$uHuwb,NOUN,شُحُوب,N_VERB_I,emaciation;pallor,-,1u2uw3,$aHab-u,VERB,شَحَب-ُ,VERB_I,be_haggard;become_pale,INTRANS,1a2a3_INTRANS
$.H.b,$uHuwbap,NOUN,شُحُوبَة,N_VERB_I,becoming_pale;being_haggard,-,1u2uw3+ap,$aHab-u,VERB,شَحَب-ُ,VERB_I,be_haggard;become_pale,INTRANS,1a2a3_INTRANS
$.H.m,$aHum-u,VERB,شَحُم-ُ,VERB_I,become_fat,INTRANS,1a2u3_INTRANS,$.H.m,ROOT,,ROOT,,,ROOT
$.H.m,mi$oHamap,NOUN,مِشْحَمَة,N_INSTR,grease_box;grease_box_(wheel),-,mi1o2a3+ap,$aHum-u,VERB,شَحُم-ُ,VERB_I,become_fat,INTRANS,1a2u3_INTRANS
$.H.m,$aH~am,VERB,شَحَّم,VERB_II,grease;lubricate,trans,1a2~a3,$aHum-u,VERB,شَحُم-ُ,VERB_I,become_fat,INTRANS,1a2u3_INTRANS
$.H.m,mu$aH~am,ADJ,مُشَحَّم,PASS_PRTC,fat;greasy,-,mu1a2~a3,$aH~am,VERB,شَحَّم,VERB_II,grease;lubricate,trans,1a2~a3
$.H.m,ta$oHiym,NOUN,تَشْحِيم,N_VERB_II,lubrication;oiling,-,ta1o2iy3,$aH~am,VERB,شَحَّم,VERB_II,grease;lubricate,trans,1a2~a3
$.H.m,$aHom,NOUN,شَحْم,N_VERB_I,fat;grease;lubricant,-,1a2o3,$aHum-u,VERB,شَحُم-ُ,VERB_I,become_fat,INTRANS,1a2u3_INTRANS
$.H.m,$aHomiy~,ADJ,شَحْمِيّ,ATTR_ADJ,fatty;sebaceous,-,1a2o3+iy~,$aHom,NOUN,شَحْم,N_VERB_I,fat;grease;lubricant,-,1a2o3
$.H.m,$aHiym,ADJ,شَحِيم,DES_ADJ,fatty,-,1a2iy3,$aHum-u,VERB,شَحُم-ُ,VERB_I,become_fat,INTRANS,1a2u3_INTRANS
$.H.m,$aHaAmap,NOUN,شَحَامَة,N_VERB_I,fattening,-,1a2A3+ap,$aHum-u,VERB,شَحُم-ُ,VERB_I,become_fat,INTRANS,1a2u3_INTRANS
$.H.m,$aHomap,NOUN,شَحْمَة,N_VERB_I,lump,-,1a2o3+ap,$aHum-u,VERB,شَحُم-ُ,VERB_I,become_fat,INTRANS,1a2u3_INTRANS
$.H.m,$aHomiy~,ADJ,شَحْمِيّ,ATTR_ADJ,fatty;sebaceous,-,1a2o3+iy~,$aHomap,NOUN,شَحْمَة,N_VERB_I,lump,-,1a2o3+ap
$.H.m,$aHim,ADJ,شَحِم,DES_ADJ,pulpy,-,1a2i3,$aHum-u,VERB,شَحُم-ُ,VERB_I,become_fat,INTRANS,1a2u3_INTRANS
$.H.n,$aHan-a,VERB,شَحَن-َ,VERB_I,freight;load;ship,#n trans,1a2a3,$.H.n,ROOT,,ROOT,,,ROOT
$.H.n,$aHon,NOUN,شَحْن,N_VERB_I,freighting;shipment;transportation,-,1a2o3,$aHan-a,VERB,شَحَن-َ,VERB_I,freight;load;ship,#n trans,1a2a3
$.H.n,ma$oHuwn,ADJ,مَشْحُون,DES_ADJ,freighted;loaded,-,ma1o2uw3,$aHan-a,VERB,شَحَن-َ,VERB_I,freight;load;ship,#n trans,1a2a3
$.H.n,$aAHin,ADJ,شَاحِن,ACT_PRTC,freighted;loaded,-,1A2i3,$aHan-a,VERB,شَحَن-َ,VERB_I,freight;load;ship,#n trans,1a2a3
$.H.n,>a$oHan,VERB,أَشْحَن,VERB_IV,freight;load;ship,#n trans,>a1o2a3,$aHan-a,VERB,شَحَن-َ,VERB_I,freight;load;ship,#n trans,1a2a3
$.H.n,$aAHan,VERB,شَاحَن,VERB_III,quarrel_with,#n trans,1A2a3,$aHan-a,VERB,شَحَن-َ,VERB_I,freight;load;ship,#n trans,1a2a3
$.H.n,mu$aAHanap,NOUN,مُشَاحَنَة,N_VERB_III,feud;quarrel,-,mu1A2a3+ap,$aAHan,VERB,شَاحَن,VERB_III,quarrel_with,#n trans,1A2a3
$.H.n,ta$aAHan,VERB,تَشَاحَن,VERB_VI,feud;quarrel,#n trans,ta1A2a3,$aAHan,VERB,شَاحَن,VERB_III,quarrel_with,#n trans,1A2a3
$.H.n,ta$aAHun,NOUN,تَشَاحُن,N_VERB_VI,feuding;quarreling,-,ta1A2u3,ta$aAHan,VERB,تَشَاحَن,VERB_VI,feud;quarrel,#n trans,ta1A2a3
$.H.n,$aAHinap,NOUN,شَاحِنَة,N_INSTR,freight_car;lorry;truck,-,1A2i3+ap,$aHan-a,VERB,شَحَن-َ,VERB_I,freight;load;ship,#n trans,1a2a3
$.H.n,$uHonap,NOUN,شُحْنَة,N_VERB_I,cargo;charge;freight,-,1u2o3+ap,$aHan-a,VERB,شَحَن-َ,VERB_I,freight;load;ship,#n trans,1a2a3
$.H.n,$aHonap,NOUN,شَحْنَة,N_VERB_I,cargo;charge;freight,-,1a2o3+ap,$aHan-a,VERB,شَحَن-َ,VERB_I,freight;load;ship,#n trans,1a2a3
$.H.t,$aHat-a,VERB,شَحَت-َ,VERB_I,ask_for_alms,#t trans,1a2a3,$.H.t,ROOT,,ROOT,,,ROOT
$.T.H,$aTaH-a,VERB,شَطَح-َ,VERB_I,roam;rove,trans,1a2a3,$.T.H,ROOT,,ROOT,,,ROOT
$.T.H,$aToH,NOUN,شَطْح,N_VERB_I,roaming;roving,-,1a2o3,$aTaH-a,VERB,شَطَح-َ,VERB_I,roam;rove,trans,1a2a3
$.T.H,$aToHap,NOUN,شَطْحَة,N_VERB_I,escapade,-,1a2o3+ap,$aTaH-a,VERB,شَطَح-َ,VERB_I,roam;rove,trans,1a2a3
$.T.T,$aT~-i,VERB,شَطّ-ِ,VERB_I,be_excessive;go_too_far,INTRANS,1a2a3_INTRANS,$.T.T,ROOT,,ROOT,,,ROOT
$.T.T,$aTiyTap,NOUN,شَطِيطَة,N_VERB_I,hot_pepper,-,1a2iy3+ap,$aT~-i,VERB,شَطّ-ِ,VERB_I,be_excessive;go_too_far,INTRANS,1a2a3_INTRANS
$.T.T,$aT~,NOUN,شَطّ,N_VERB_I,bank;shore,-,1a2o3,$aT~-i,VERB,شَطّ-ِ,VERB_I,be_excessive;go_too_far,INTRANS,1a2a3_INTRANS
$.T.T,$aT~iy~,ADJ,شَطِّيّ,ATTR_ADJ,littoral,-,1a2o3+iy~,$aT~,NOUN,شَطّ,N_VERB_I,bank;shore,-,1a2o3
$.T.T,$aTaT,NOUN,شَطَط,N_VERB_I,deviation;excess,-,1a2a3,$aT~-i,VERB,شَطّ-ِ,VERB_I,be_excessive;go_too_far,INTRANS,1a2a3_INTRANS
$.T.T,$aT~ap,NOUN,شَطَّة,N_VERB_I,hot_pepper,-,1a2o3+ap,$aT~-i,VERB,شَطّ-ِ,VERB_I,be_excessive;go_too_far,INTRANS,1a2a3_INTRANS
